#dist (cm)	xi			T(K)		n_H (cm^-3)
 5.1433E+22  3.6478E-10  2.5659E+04  7.0000E-05  
 1.5430E+23  2.5098E-09  2.6051E+04  7.0000E-05  
 2.5717E+23  6.6184E-09  2.6767E+04  7.0000E-05  
 3.6003E+23  1.2588E-08  2.7406E+04  7.0000E-05  
 4.6290E+23  2.0287E-08  2.7970E+04  7.0000E-05  
 5.6577E+23  2.9640E-08  2.8470E+04  7.0000E-05  
 6.6863E+23  4.0730E-08  2.8919E+04  7.0000E-05  
 7.7150E+23  5.3323E-08  2.9328E+04  7.0000E-05  
 8.7437E+23  6.7537E-08  2.9701E+04  7.0000E-05  
 9.7723E+23  8.3476E-08  3.0047E+04  7.0000E-05  
 1.0801E+24  1.0044E-07  3.0367E+04  7.0000E-05  
 1.1830E+24  1.1980E-07  3.0667E+04  7.0000E-05  
 1.2858E+24  1.3985E-07  3.0948E+04  7.0000E-05  
 1.3887E+24  1.6139E-07  3.1212E+04  7.0000E-05  
 1.4916E+24  1.8383E-07  3.1462E+04  7.0000E-05  
 1.5944E+24  2.0868E-07  3.1700E+04  7.0000E-05  
 1.6973E+24  2.3658E-07  3.1926E+04  7.0000E-05  
 1.8002E+24  2.6066E-07  3.2139E+04  7.0000E-05  
 1.9030E+24  2.9281E-07  3.2345E+04  7.0000E-05  
 2.0059E+24  3.2017E-07  3.2540E+04  7.0000E-05  
 2.1088E+24  3.5205E-07  3.2727E+04  7.0000E-05  
 2.2116E+24  3.8636E-07  3.2907E+04  7.0000E-05  
 2.3145E+24  4.2173E-07  3.3079E+04  7.0000E-05  
 2.4174E+24  4.5775E-07  3.3243E+04  7.0000E-05  
 2.5202E+24  4.9168E-07  3.3401E+04  7.0000E-05  
 2.6231E+24  5.3072E-07  3.3553E+04  7.0000E-05  
 2.7260E+24  5.7121E-07  3.3699E+04  7.0000E-05  
 2.8288E+24  6.1340E-07  3.3840E+04  7.0000E-05  
 2.9317E+24  6.5212E-07  3.3974E+04  7.0000E-05  
